,left_shoulder_x_diff,left_shoulder_y_diff,right_shoulder_x_diff,right_shoulder_y_diff,left_elbow_x_diff,left_elbow_y_diff,right_elbow_x_diff,right_elbow_y_diff,left_wrist_x_diff,left_wrist_y_diff,right_wrist_x_diff,right_wrist_y_diff,left_index_x_diff,left_index_y_diff,left_index_z_diff,right_index_x_diff,right_index_y_diff,right_index_z_diff,gt_idle,gt_sr,gt_sl,gt_r
0,0.00027999999999994696,0.0026199999999999557,-0.000280000000000058,0.0008600000000000274,-0.00022999999999995246,0.0016100000000000003,-0.0007800000000000029,0.004630000000000023,0.00026999999999999247,0.0019700000000000273,0.0,0.0022400000000000198,0.0012099999999999334,4.0000000000040004e-05,-0.028959999999999986,-0.0011200000000000099,0.00279000000000007,-0.03110999999999997,1,0,0,0
1,-4.999999999999449e-05,0.0006399999999999739,-3.0000000000085514e-05,0.00046000000000001595,-0.00029000000000001247,0.0015300000000000313,-0.0003300000000000525,0.0018400000000000638,0.000280000000000058,0.0012999999999999678,-0.000180000000000069,0.00038000000000004697,0.0008000000000000229,0.00041000000000002146,-0.00655,-0.0013600000000000279,0.0003300000000000525,-0.015259999999999996,1,0,0,0
2,-0.000300000000000078,0.0015499999999999958,-8.999999999992347e-05,0.00019000000000002348,-0.00040000000000006697,0.0020700000000000163,-0.00042000000000008697,0.00012000000000000899,-4.0000000000040004e-05,-0.0001300000000000745,-0.000160000000000049,-0.00024999999999997247,9.999999999998899e-05,0.00013999999999991797,-0.0048699999999999855,-0.0006500000000000394,-1.999999999990898e-05,0.02131999999999995,1,0,0,0
3,-0.0008299999999999974,0.0014899999999999913,-0.0010000000000000009,-1.999999999996449e-05,-0.0019700000000000273,0.001040000000000041,-0.0010799999999999699,0.0002300000000000635,-0.00029000000000001247,-0.0007800000000000029,-0.00048000000000003595,0.0003300000000000525,-1.999999999990898e-05,3.999999999992898e-05,-0.0041100000000000025,-0.0005199999999999649,0.00024999999999997247,0.016290000000000027,1,0,0,0
4,-0.0030799999999999716,-0.000250000000000028,-0.0018000000000000238,-0.00012999999999996348,-0.00270999999999999,-0.000140000000000029,-0.0022199999999999998,-0.0005499999999999394,-0.00032999999999994145,-0.0012499999999999734,-0.0016899999999999693,0.0010700000000000154,-0.0007599999999999829,0.0001100000000000545,0.00036000000000002697,-0.0012899999999999023,0.0006700000000000594,-0.006709999999999994,1,0,0,0
5,-0.0040399999999999325,-0.00035999999999997145,-0.0044199999999999795,-0.00036999999999998145,-0.0008899999999999464,2.999999999997449e-05,-0.0046800000000000175,-0.0005499999999999394,-0.0015800000000000258,-0.00031000000000003247,-0.0047800000000000065,0.0010599999999999499,-0.002589999999999981,0.00041999999999997595,-0.012880000000000003,-0.0048600000000000865,0.00026999999999999247,-0.024249999999999994,1,0,0,0
6,-0.004550000000000054,0.00013999999999997348,-0.005800000000000027,-0.00018999999999996797,-0.005959999999999965,0.004369999999999985,-0.007749999999999924,-0.0007800000000000029,-0.00653999999999999,0.005539999999999989,-0.006780000000000064,0.00024999999999997247,-0.005680000000000018,0.005800000000000027,-0.01047999999999999,-0.006220000000000003,-9.00000000000345e-05,0.0005300000000000304,1,0,0,0
7,-0.006520000000000081,0.00024999999999997247,-0.005670000000000064,-0.00018000000000001348,-0.007560000000000011,0.0025300000000000322,-0.007850000000000024,-0.0019099999999999673,-0.009159999999999946,0.003189999999999915,-0.007330000000000059,-0.0010799999999999699,-0.008620000000000072,0.003630000000000022,-0.009299999999999975,-0.006669999999999954,-0.0011100000000000554,0.012399999999999967,1,0,0,0
8,-0.006819999999999937,3.0000000000030003e-05,-0.006010000000000071,0.00026999999999999247,-0.006759999999999988,0.0022699999999999942,-0.006329999999999947,-0.00019999999999997797,-0.008480000000000043,0.003390000000000004,-0.006780000000000008,-0.0020499999999999963,-0.01034999999999997,0.0033400000000000096,-0.00035000000000001696,-0.006960000000000022,-0.0017000000000000348,0.011929999999999996,1,0,0,0
9,-0.005860000000000087,6.0000000000004494e-05,-0.005380000000000051,-0.0005300000000000304,-0.00817000000000001,0.0019999999999998908,-0.006489999999999996,-0.0010299999999999754,-0.007850000000000024,0.004189999999999916,-0.007790000000000019,-0.0019799999999999818,-0.008059999999999956,0.00651999999999997,0.0038900000000000046,-0.008469999999999978,-0.0011999999999999789,-0.00605,1,0,0,0
